TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG
144,6073.8416,20705.2529,35684.0518,488.7166,-673.0792,-10359.4771,0.0,0.0,0.0,51919.3066,0.0,51919.3066,51919.3066,0.0
145,6045.536,20607.2592,35670.9367,486.2155,-672.4802,-10460.2064,0.0,0.0,0.0,51677.2608,0.0,51677.2608,51677.2608,0.0
146,5995.8603,20540.7092,35663.2598,485.1375,-672.1628,-10502.2375,0.0,0.0,0.0,51510.5665,0.0,51510.5665,51510.5665,0.0
147,5958.0096,20476.9919,35655.7716,484.2036,-671.8446,-10411.6498,0.0,0.0,0.0,51491.4823,0.0,51491.4823,51491.4823,0.0
148,5931.821,20416.0677,35648.4876,483.4453,-671.5253,-10119.813,0.0,0.0,0.0,51688.4832,0.0,51688.4832,51688.4832,0.0
149,5971.485,20501.697,35658.6909,484.5515,-671.9697,-10465.573,0.0,0.0,0.0,51478.8816,0.0,51478.8816,51478.8816,0.0
150,5970.0562,20499.207,35658.3976,484.5155,-671.9571,-10461.3498,0.0,0.0,0.0,51478.8693,0.0,51478.8693,51478.8693,0.0
151,5970.7029,20500.3373,35658.5308,484.5318,-671.9629,-10463.2987,0.0,0.0,0.0,51478.8411,0.0,51478.8411,51478.8411,0.0
152,5916.7074,20365.5873,35643.0264,481.5768,-671.2248,-10514.5423,0.0,0.0,0.0,51221.1308,0.0,51221.1308,51221.1308,0.0
153,5937.3604,20319.0236,35636.2575,479.7679,-670.883,-10641.4661,0.0,0.0,0.0,51060.0602,0.0,51060.0602,51060.0602,0.0
154,5968.2443,20274.9992,35629.6707,478.0902,-670.5403,-10651.9558,0.0,0.0,0.0,51028.5083,0.0,51028.5083,51028.5083,0.0
155,6009.5233,20233.5606,35623.2516,476.517,-670.1967,-10539.3176,0.0,0.0,0.0,51133.3383,0.0,51133.3383,51133.3383,0.0
156,5959.5185,20285.8126,35631.3084,478.5006,-670.6265,-10659.887,0.0,0.0,0.0,51024.6267,0.0,51024.6267,51024.6267,0.0
157,5960.3617,20284.724,35631.1441,478.4593,-670.6179,-10659.4211,0.0,0.0,0.0,51024.6501,0.0,51024.6501,51024.6501,0.0
158,5959.6968,20285.5816,35631.2735,478.4919,-670.6246,-10659.7941,0.0,0.0,0.0,51024.625,0.0,51024.625,51024.625,0.0
159,5945.2908,20189.6159,35617.6892,475.9179,-670.0169,-10763.2855,0.0,0.0,0.0,50795.2114,0.0,50795.2114,50795.2114,0.0
160,5886.4366,20123.878,35610.1461,474.8801,-669.7064,-10796.7094,0.0,0.0,0.0,50628.925,0.0,50628.925,50628.925,0.0
161,5841.9947,20060.8228,35602.8667,473.9839,-669.3951,-10700.4933,0.0,0.0,0.0,50609.7797,0.0,50609.7797,50609.7797,0.0
162,5811.7846,20000.4035,35595.8711,473.2609,-669.0831,-10402.3073,0.0,0.0,0.0,50809.9297,0.0,50809.9297,50809.9297,0.0
163,5857.7776,20085.3226,35605.699,474.3178,-669.5177,-10756.5258,0.0,0.0,0.0,50597.0735,0.0,50597.0735,50597.0735,0.0
164,5856.0998,20082.8542,35605.4139,474.2832,-669.5054,-10752.0901,0.0,0.0,0.0,50597.0556,0.0,50597.0556,50597.0556,0.0
165,5856.8253,20083.925,35605.5376,474.2982,-669.5107,-10754.0465,0.0,0.0,0.0,50597.0288,0.0,50597.0288,50597.0288,0.0
166,5808.0532,19960.6874,35590.935,471.5151,-668.8162,-10805.3187,0.0,0.0,0.0,50357.0557,0.0,50357.0557,50357.0557,0.0
167,5832.9359,19917.7823,35584.315,469.7042,-668.4821,-10928.5511,0.0,0.0,0.0,50207.7043,0.0,50207.7043,50207.7043,0.0
168,5870.0866,19877.5327,35577.9553,468.0431,-668.1471,-10928.9665,0.0,0.0,0.0,50196.5042,0.0,50196.5042,50196.5042,0.0
169,5919.6826,19839.9816,35571.8439,466.502,-667.8112,-10796.7415,0.0,0.0,0.0,50333.4573,0.0,50333.4573,50333.4573,0.0
170,5853.0582,19894.0272,35580.5822,468.721,-668.2872,-10943.223,0.0,0.0,0.0,50184.8784,0.0,50184.8784,50184.8784,0.0
171,5854.6636,19892.3566,35580.3176,468.6522,-668.2732,-10942.7502,0.0,0.0,0.0,50184.9666,0.0,50184.9666,50184.9666,0.0
172,5853.2509,19893.8252,35580.5502,468.7127,-668.2855,-10943.1764,0.0,0.0,0.0,50184.8771,0.0,50184.8771,50184.8771,0.0
173,5849.6692,19796.8238,35566.4222,466.0009,-667.6587,-11047.6981,0.0,0.0,0.0,49963.5593,0.0,49963.5593,49963.5593,0.0
174,5790.7743,19731.0355,35558.3555,464.8635,-667.3382,-11069.2896,0.0,0.0,0.0,49808.4009,0.0,49808.4009,49808.4009,0.0
175,5745.6959,19667.8161,35550.5807,463.8454,-667.0171,-10959.9418,0.0,0.0,0.0,49800.9791,0.0,49800.9791,49800.9791,0.0
